@relation powersupply_1
@attribute width  numeric
@attribute height numeric
@attribute color  {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@data
0.181279,0.285047,0
0.280365,0.280374,1
0.22968,0.252336,2
0.225114,0.214953,3
0.205936,0.205607,4
0.210502,0.200935,5
0.23105,0.224299,6
0.235616,0.247664,7
0.249315,0.261682,8
0.219635,0.224299,9
0.247032,0.257009,10
0.278995,0.285047,11
0.310959,0.313084,12
0.283562,0.285047,13
0.256621,0.238318,14
0.245205,0.252336,15
0.231507,0.247664,16
0.277169,0.294393,17
0.421918,0.434579,18
0.450228,0.46729,19
0.473059,0.481308,20
0.461644,0.485981,21
0.4,0.401869,22
0.349772,0.350467,23
0.285845,0.275701,0
0.224658,0.242991,1
0.202283,0.21028,2
0.180822,0.196262,3
0.196804,0.191589,4
0.23105,0.247664,5
0.301826,0.308411,6
0.477626,0.443925,7
0.573516,0.560748,8
0.673973,0.668224,9
0.724201,0.700935,10
0.709589,0.71028,11
0.718721,0.700935,12
0.606849,0.598131,13
0.620548,0.626168,14
0.625114,0.616822,15
0.620548,0.621495,16
0.693607,0.668224,17
0.807763,0.785047,18
0.803196,0.766355,19
0.677626,0.663551,20
0.615982,0.621495,21
0.524658,0.53271,22
0.456164,0.471963,23
0.380822,0.38785,0
0.308219,0.317757,1
0.26347,0.299065,2
0.219178,0.252336,3
0.243379,0.247664,4
0.325571,0.299065,5
0.327854,0.35514,6
0.494521,0.490654,7
0.648858,0.663551,8
0.781279,0.785047,9
0.790411,0.799065,10
0.769863,0.775701,11
0.719635,0.724299,12
0.616895,0.630841,13
0.614612,0.621495,14
0.657991,0.658879,15
0.676256,0.705607,16
0.715068,0.757009,17
0.849772,0.827103,18
0.80411,0.817757,19
0.708219,0.719626,20
0.637443,0.654206,21
0.536986,0.556075,22
0.477626,0.523364,23
0.390868,0.401869,0
0.323288,0.364486,1
0.286758,0.308411,2
0.291324,0.299065,3
0.277626,0.266355,4
0.309589,0.32243,5
0.339269,0.373832,6
0.526484,0.523364,7
0.656621,0.700935,8
0.773059,0.785047,9
0.807306,0.845794,10
0.738813,0.766355,11
0.727397,0.761682,12
0.636073,0.640187,13
0.642922,0.654206,14
0.67032,0.682243,15
0.695434,0.696262,16
0.722831,0.728972,17
0.823288,0.831776,18
0.823288,0.82243,19
0.73653,0.719626,20
